ID,cidade,estado,lat,long
0,Elizabeth,WV,39.0434,-81.3990
1,Norwalk,CT,41.1269,-73.4410
2,San Diego,CA,32.7199,-117.1805
3,E. Rio Vista,CA,32.7199,-117.1805
4,Magna,UT,40.7029,-112.0900
5,Grass Valley,CA,39.2202,-120.9008
6,Detroit,MI,42.3462,-83.0606
7,Lees Summit,MO,38.9259,-94.4010
8,Henderson,NV,35.9985,-114.9589
9,Henderson,NV,35.9985,-114.9589
10,San Anselmo,CA,37.9921,-122.5813
11,Albany,OR,44.6334,-123.1396
12,Sells,AZ,32.0075,-112.0048
13,Liverpool,NY,43.1070,-76.2019
14,Miami,AZ,33.4645,-110.9810
15,San tan valley,AZ,32.7199,-117.1805
16,Vacaville or Fairfield (?) (near),CA,32.7199,-117.1805
17,Centerport,NY,40.8944,-73.3714
18,Grand Junction,CO,39.0702,-108.5530
19,Kearny Mesa,CA,32.7199,-117.1805
20,Chapel Hill,NC,35.9671,-79.0409
21,Marietta,GA,33.9527,-84.5502
22,Superior,AZ,33.2942,-111.0955
23,Ft. Myers,FL,32.7199,-117.1805
24,Eugene,OR,44.0672,-123.0827
25,Tucson (Pima Co.)(copper mine S of ),AZ,32.7199,-117.1805
26,O'Fallon,MO,32.7199,-117.1805
27,North Ogden,UT,32.7199,-117.1805
28,Odessa (Canada),ON,32.7199,-117.1805
29,San Gabriel,CA,34.1163,-118.0927
30,Wendover,NV,32.7199,-117.1805
31,Niagara,ON,32.7199,-117.1805
32,Calgary (Canada),AB,32.7199,-117.1805
33,Kansas City,MO,39.1041,-94.5997
34,Girard,KS,37.4924,-94.9149
35,Ellenwood,GA,33.6354,-84.2542
36,Phoenix,AZ,33.4486,-112.0733
37,North Creek,NY,43.6891,-73.9412
38,Elizabethtown,NY,44.1962,-73.6115
39,Salt Lake,UT,32.7199,-117.1805
40,Thornton,WV,39.3192,-79.9080
41,Los Angeles,CA,33.9736,-118.2479
42,Morrison,CO,39.6027,-105.2080
43,Plymouth,MA,41.8734,-70.6397
44,Paterson,NJ,40.9098,-74.1742
45,Rome,NY,43.2134,-75.4742
46,Thompson Springs,UT,32.7199,-117.1805
47,New York City (Brooklyn),NY,32.7199,-117.1805
48,Pittsburgh,PA,40.4739,-79.9559
49,Monroe,WI,42.6105,-89.6294
50,Westminster,CO,39.8288,-105.0342
51,Crescent Valley,NV,40.5339,-116.3223
52,Irvine,CA,33.7484,-117.7455
53,Hanover Twp,PA,32.7199,-117.1805
54,Snellville,GA,33.7965,-84.0331
55,Las Vegas,NV,36.1736,-115.1264
56,Mackay (Australia),,32.7199,-117.1805
57,Arnold,PA,32.7199,-117.1805
58,Bath,PA,40.7595,-75.4184
59,Tillicum Campground,OR,32.7199,-117.1805
60,Pompano Beach,FL,26.2336,-80.1190
61,Bristol,CT,41.6814,-72.9405
62,Barcelona (Spain),,32.7199,-117.1805
63,Grass Lake,MI,42.2899,-84.1914
64,Woodbridge,CT,41.3529,-73.0019
65,Waterford,NY,42.8231,-73.6991
66,South Heights,PA,40.5757,-80.2370
67,Brimfield,MA,42.1266,-72.2046
68,Bloomfield,NY,42.8654,-77.4721
69,Lehigh Township,PA,32.7199,-117.1805
70,Concord,CA,37.9536,-122.0219
71,Revere,MA,42.4190,-70.9963
72,Nageezi,NM,36.1886,-107.8303
73,Nageezi,NM,36.1886,-107.8303
74,Ovid,,32.7199,-117.1805
75,Pawtucket,RI,41.8752,-71.3945
76,Norwalk,CT,41.1269,-73.4410
77,Turlock,CA,37.4779,-120.8607
78,Atlanta,GA,33.7486,-84.3884
79,Carlsbad,CA,33.1508,-117.3133
80,East Patchogue,NY,32.7199,-117.1805
81,Las Cruces,NM,32.2858,-106.7449
82,Hemet (general area),CA,32.7199,-117.1805
83,Fitchburg,MA,42.5828,-71.8066
84,Tillamook,OR,45.4729,-123.6395
85,Phoenix,AZ,33.4486,-112.0733
86,Cincinnati,OH,39.1616,-84.4569
87,Denver/Glendale,CO,32.7199,-117.1805
88,Carlisle,OH,32.7199,-117.1805
89,Knoxville,TN,35.9646,-83.9197
90,Charlotte,NC,35.2287,-80.8458
91,North Myrtle Beach,SC,33.8348,-78.6621
92,Lansford,PA,40.8328,-75.8834
93,Rochester Hills,MI,32.7199,-117.1805
94,Treasure Island,FL,32.7199,-117.1805
95,Hillview/Shepherdsville,KY,32.7199,-117.1805
96,Buffalo,NY,42.8945,-78.8869
97,Bozeman,MT,45.6629,-110.9243
98,Corona,CA,33.8754,-117.5659
99,Glenwood (Canada),NF,32.7199,-117.1805
100,Asheville,NC,35.5901,-82.5582
101,New Lenox,IL,41.5078,-87.9652
102,Barrhead (Canada),AB,32.7199,-117.1805
103,Spring Valley,OH,39.6090,-84.0496
104,Louisville,KY,38.2545,-85.7595
105,Coulee Dam,WA,48.2118,-119.2899
106,Airdrie (Canada),AB,32.7199,-117.1805
107,Prairie Village,KS,39.0062,-94.6329
108,South Bend,IN,41.6725,-86.2533
109,Duncansville,PA,40.4240,-78.4799
110,Sunnyside,WA,46.3894,-120.0173
111,Zejtun (Malta),,32.7199,-117.1805
112,Corona,CA,33.8754,-117.5659
113,Buckeye,AZ,33.2412,-112.7681
114,Ellicott City,MD,39.2673,-76.7986
115,Truro (Canada),NS,32.7199,-117.1805
116,New Port Richey,FL,28.2396,-82.7399
117,Fort Myers,FL,26.62,-81.84
118,Barboursville,WV,38.3714,-82.2674
119,New Bern,NC,35.0992,-76.9819
120,New York City (Bronx),NY,32.7199,-117.1805
121,Catonsville,MD,39.2675,-76.7446
122,Glenwood,NJ,41.2429,-74.4940
123,East Windsor,CT,41.9041,-72.5920
124,Louisville,KY,38.2545,-85.7595
125,Hendersonville,TN,36.3454,-86.6017
126,Sidmouth (UK/England),,32.7199,-117.1805
127,Antioch,TN,36.0601,-86.6725
128,Warren,MI,42.5154,-82.9844
129,Nashville,TN,36.1660,-86.7732
130,Fountain,CO,38.6663,-104.6499
131,Colorado Springs,CO,38.8336,-104.8206
132,Caldwell,ID,43.6681,-116.6483
133,Evansville,IN,37.9744,-87.5555
134,Ely,NV,39.4029,-114.9770
135,Lefayette,TN,32.7199,-117.1805
136,Ormond Beach,FL,29.2856,-81.0563
137,Delray Beach,FL,26.4571,-80.0796
138,Barboursville,WV,38.3714,-82.2674
139,Dateland,AZ,32.8863,-113.3266
140,Lake Shelbyville,IL,32.7199,-117.1805
141,North Myrtle Beach,SC,33.8348,-78.6621
142,Mulino,OR,45.2101,-122.5373
143,Cleveland,TN,35.0929,-84.9155
144,San Dimas,CA,34.1154,-117.8130
145,Swansea (UK/England),,32.7199,-117.1805
146,Seattle,WA,47.6110,-122.3335
147,Winslow,AZ,35.1151,-110.2903
148,White Plains,MD,38.5843,-76.9767
149,Lake Wiley,NC,32.7199,-117.1805
150,Reading,PA,40.3583,-75.9411
151,Sedona,AZ,34.6551,-111.4146
152,Bridgeton,MO,38.7663,-90.4221
153,Cape May Wildwood Crest,NJ,32.7199,-117.1805
154,Cape May/Wildwood,NJ,32.7199,-117.1805
155,Cape May (headed toward on Parkway South),NJ,32.7199,-117.1805
156,Traverse City,MI,44.7832,-85.7249
157,Sanford,FL,28.8323,-81.2995
158,Cortez,CO,37.3472,-108.7338
159,Oakdale,CT,41.4654,-72.1919
160,Springhill,FL,32.7199,-117.1805
161,Beckley,WV,37.8226,-81.2318
162,Wrightsville,PA,39.9890,-76.5126
163,Oxford,OH,39.4830,-84.7133
164,Elk Grove,CA,38.4430,-121.2993
165,Warren,MI,42.5154,-82.9844
166,Brainerd,MN,46.3217,-94.1168
167,Los Angeles,CA,33.9736,-118.2479
168,Lanesboro,MA,42.5607,-73.2444
169,Winter Haven,FL,27.9826,-81.7709
170,Mansfield,OH,40.7584,-82.5156
171,New York City (Jamaica),NY,32.7199,-117.1805
172,Glendale,AZ,33.5382,-112.1859
173,West Palm,FL,32.7199,-117.1805
174,Staten Island,NY,40.6247,-74.0945
175,Uinta Mountian Range,UT,32.7199,-117.1805
176,Edmonton (Canada),AB,32.7199,-117.1805
177,Conway,AR,35.0640,-92.3706
178,Scarborough,ON,32.7199,-117.1805
179,Mesa,AZ,33.4432,-111.8553
180,Montello,NV,41.2820,-114.2319
181,West Columbia,SC,33.9910,-81.1009
182,Henrico,VA,37.5497,-77.3164
183,Smithfield,RI,41.9036,-71.5289
184,New Port Richey,FL,28.2396,-82.7399
185,Aurora,CO,39.7398,-104.8562
186,Turlock,CA,37.4779,-120.8607
187,Grand Isle,ME,47.2658,-68.1310
188,Cedar Park,TX,30.4980,-97.8157
189,Lake Elsinore,CA,33.6233,-117.3968
190,Bethesda,MD,38.9806,-77.1008
191,Moraine,OK,32.7199,-117.1805
192,Bayshore,NY,32.7199,-117.1805
193,Becket,MA,42.3241,-73.1309
194,Warwick,RI,41.7053,-71.4610
195,Johnstown,CO,40.3343,-104.9337
196,Hampton Beach,NH,32.7199,-117.1805
197,Loudon,NH,43.3215,-71.4415
198,Loudon,NH,43.3215,-71.4415
199,El Centro,CA,32.7709,-115.6023
200,Colorado Springs,CO,38.8336,-104.8206
201,Perkasie,PA,40.3960,-75.2319
202,Vernon,AL,33.7530,-88.0825
203,"Cwmbran, Wales (UK/Wales)",,32.7199,-117.1805
204,Coventry,RI,41.6933,-71.6363
205,Garden City,KS,38.0007,-100.7947
206,Montrose,IL,39.1685,-88.3277
207,Cape Coral,FL,26.5742,-81.9439
208,Henderson,NV,35.9985,-114.9589
209,Yountville,CA,38.4108,-122.3681
210,Jensen Beach,FL,27.2970,-80.2388
211,Tobyhanna,PA,41.1853,-75.4530
212,Cold Springs (Bugtussel),AL,32.7199,-117.1805
213,Silverton,OR,44.9458,-122.6435
