,ID,cidade,estado,lat,long
0,2,San Diego,CA,32.7199,-117.1805
1,3,E. Rio Vista,CA,32.7199,-117.1805
2,5,Grass Valley,CA,39.2202,-120.9008
3,10,San Anselmo,CA,37.9921,-122.5813
4,16,Vacaville or Fairfield (?) (near),CA,32.7199,-117.1805
5,19,Kearny Mesa,CA,32.7199,-117.1805
6,29,San Gabriel,CA,34.1163,-118.0927
7,41,Los Angeles,CA,33.9736,-118.2479
8,52,Irvine,CA,33.7484,-117.7455
9,70,Concord,CA,37.9536,-122.0219
10,77,Turlock,CA,37.4779,-120.8607
11,79,Carlsbad,CA,33.1508,-117.3133
12,82,Hemet (general area),CA,32.7199,-117.1805
13,98,Corona,CA,33.8754,-117.5659
14,112,Corona,CA,33.8754,-117.5659
15,144,San Dimas,CA,34.1154,-117.813
16,164,Elk Grove,CA,38.443,-121.2993
17,167,Los Angeles,CA,33.9736,-118.2479
18,186,Turlock,CA,37.4779,-120.8607
19,189,Lake Elsinore,CA,33.6233,-117.3968
20,199,El Centro,CA,32.7709,-115.6023
21,209,Yountville,CA,38.4108,-122.3681
22,227,Visalia,CA,36.2947,-119.3813
23,234,Georgetown,CA,38.9171,-120.6703
24,235,Grass Valley,CA,39.2202,-120.9008
25,236,Sunland,CA,34.2853,-118.3145
26,237,Antioch,CA,37.9898,-121.8073
27,240,Placerville,CA,38.7506,-120.7885
28,252,Jalama Beach,CA,32.7199,-117.1805
29,276,Grass Valley,CA,39.2202,-120.9008
30,278,,CA,32.7199,-117.1805
31,283,Benton Hot Springs,CA,32.7199,-117.1805
32,302,Sherman Oaks,CA,34.1456,-118.4662
33,303,Los Angeles,CA,33.9736,-118.2479
34,306,Davis,CA,38.563,-121.816
35,307,Corona,CA,33.8754,-117.5659
36,310,Chino,CA,33.9539,-117.6477
37,322,Victorville,CA,34.4779,-117.4036
38,329,Chino,CA,33.9539,-117.6477
39,334,Glendale,CA,34.1715,-118.2916
40,355,Sylmar,CA,34.3502,-118.3026
41,369,Indio,CA,33.7034,-116.2292
42,390,San Bernardino,CA,34.104,-117.2925
43,396,Sun Valley,CA,34.2316,-118.3445
44,409,Newhall,CA,34.3604,-118.4624
45,414,Moreno Valley,CA,33.8809,-117.2247
46,423,Benicia,CA,38.0951,-122.1261
47,466,San Gabriel,CA,34.1163,-118.0927
48,472,Sacramento,CA,38.5819,-121.4935
49,476,San Bernardino,CA,34.104,-117.2925
50,478,Cathedral City,CA,33.8142,-116.463
51,479,Sherman Oaks,CA,34.1456,-118.4662
52,488,San Bernardino,CA,34.104,-117.2925
53,491,Covina,CA,34.0966,-117.9073
54,510,Green Valley Lake,CA,34.2434,-117.0747
55,545,San Diego,CA,32.7199,-117.1805
56,549,Van Nuys,CA,34.2,-118.47
57,575,La Habra,CA,33.9393,-117.9559
58,578,Rosamond,CA,34.9443,-118.4952
59,587,San Gabriel,CA,34.1163,-118.0927
60,590,Santa rosa,CA,32.7199,-117.1805
61,603,San Diego,CA,32.7199,-117.1805
62,621,Alhambra,CA,34.0905,-118.1346
63,627,Granada Hills,CA,34.294,-118.5076
64,638,Palmdale,CA,34.4836,-118.0604
65,670,San Bernardino,CA,34.104,-117.2925
66,679,Temecula,CA,33.4939,-117.1475
67,682,Martinez,CA,37.9751,-122.1548
68,686,Monterey,CA,36.5836,-121.8369
69,690,Weed,CA,41.4555,-122.4586
70,699,Pinon Hills,CA,34.4463,-117.6199
71,706,San Gabriel,CA,34.1163,-118.0927
72,714,Rancho Cucamonga,CA,34.1464,-117.5911
73,730,Modesto,CA,37.6677,-121.0148
74,764,Riverside,CA,33.9943,-117.3778
75,780,Carlsbad,CA,33.1508,-117.3133
76,783,San Diego,CA,32.7199,-117.1805
