,cidade,estado,formato,data,hora,dia_semana,dia,mes
0,Elizabeth,WV,Light,8/31/17,22:00,Quinta-Feira,31,8
1,Norwalk,CT,Light,8/31/17,22:00,Quinta-Feira,31,8
2,San Diego,CA,Rectangle,8/31/17,21:00,Quinta-Feira,31,8
3,E. Rio Vista,CA,Light,8/31/17,20:15,Quinta-Feira,31,8
4,Magna,UT,Sphere,8/31/17,19:30,Quinta-Feira,31,8
5,Grass Valley,CA,Circle,8/31/17,10:00,Quinta-Feira,31,8
6,Detroit,MI,Diamond,8/31/17,06:00,Quinta-Feira,31,8
7,Lees Summit,MO,Light,8/31/17,02:16,Quinta-Feira,31,8
8,Henderson,NV,Circle,8/30/17,22:00,Quarta-feira,30,8
9,Henderson,NV,Disk,8/30/17,22:00,Quarta-feira,30,8
10,San Anselmo,CA,Sphere,8/30/17,22:00,Quarta-feira,30,8
11,Albany,OR,Rectangle,8/30/17,22:00,Quarta-feira,30,8
12,Sells,AZ,Sphere,8/30/17,21:30,Quarta-feira,30,8
13,Liverpool,NY,Light,8/30/17,21:15,Quarta-feira,30,8
14,Miami,AZ,Circle,8/30/17,20:15,Quarta-feira,30,8
15,Vacaville or Fairfield (?) (near),CA,Cigar,8/30/17,15:00,Quarta-feira,30,8
16,Centerport,NY,Formation,8/30/17,08:30,Quarta-feira,30,8
17,Grand Junction,CO,Flash,8/30/17,05:00,Quarta-feira,30,8
18,Kearny Mesa,CA,Light,8/30/17,04:30,Quarta-feira,30,8
19,Marietta,GA,Circle,8/30/17,01:00,Quarta-feira,30,8
20,Superior,AZ,Light,8/30/17,,Quarta-feira,30,8
21,Eugene,OR,Light,8/29/17,21:45,Terça-feira,29,8
22,Tucson (Pima Co.)(copper mine S of ),AZ,Disk,8/29/17,15:00,Terça-feira,29,8
23,O'Fallon,MO,Fireball,8/28/17,23:00,Segunda-feira,28,8
24,North Ogden,UT,Light,8/28/17,20:30,Segunda-feira,28,8
25,San Gabriel,CA,Sphere,8/28/17,10:20,Segunda-feira,28,8
26,Wendover,NV,Other,8/28/17,05:20,Segunda-feira,28,8
27,Kansas City,MO,Fireball,8/27/17,22:10,Domingo,27,8
28,Girard,KS,Light,8/27/17,22:00,Domingo,27,8
29,Ellenwood,GA,Light,8/27/17,22:00,Domingo,27,8
30,North Creek,NY,Light,8/27/17,21:30,Domingo,27,8
31,Elizabethtown,NY,Flash,8/27/17,21:00,Domingo,27,8
32,Los Angeles,CA,Light,8/27/17,20:42,Domingo,27,8
33,Morrison,CO,Circle,8/27/17,20:42,Domingo,27,8
34,Paterson,NJ,Light,8/27/17,20:25,Domingo,27,8
35,Rome,NY,Circle,8/27/17,11:15,Domingo,27,8
36,Thompson Springs,UT,Light,8/27/17,04:30,Domingo,27,8
37,New York City (Brooklyn),NY,Circle,8/27/17,01:09,Domingo,27,8
38,Pittsburgh,PA,Formation,8/26/17,21:15,Sábado,26,8
39,Westminster,CO,Light,8/26/17,20:00,Sábado,26,8
40,Irvine,CA,Sphere,8/26/17,18:00,Sábado,26,8
41,Hanover Twp,PA,Fireball,8/26/17,17:30,Sábado,26,8
42,Snellville,GA,Fireball,8/26/17,10:31,Sábado,26,8
43,Las Vegas,NV,Sphere,8/26/17,06:50,Sábado,26,8
44,Arnold,PA,Changing,8/26/17,00:00,Sábado,26,8
45,Bath,PA,Light,8/25/17,23:00,Sexta-feira,25,8
46,Tillicum Campground,OR,Circle,8/25/17,22:30,Sexta-feira,25,8
47,Pompano Beach,FL,Flash,8/25/17,22:30,Sexta-feira,25,8
48,Bristol,CT,Light,8/25/17,22:00,Sexta-feira,25,8
49,Grass Lake,MI,Formation,8/25/17,21:45,Sexta-feira,25,8
50,Woodbridge,CT,Circle,8/25/17,21:30,Sexta-feira,25,8
51,Waterford,NY,Disk,8/25/17,21:30,Sexta-feira,25,8
52,South Heights,PA,Circle,8/25/17,21:15,Sexta-feira,25,8
53,Brimfield,MA,Light,8/25/17,21:15,Sexta-feira,25,8
54,Bloomfield,NY,Light,8/25/17,21:00,Sexta-feira,25,8
55,Lehigh Township,PA,Light,8/25/17,21:00,Sexta-feira,25,8
56,Concord,CA,Light,8/25/17,21:00,Sexta-feira,25,8
57,Revere,MA,Formation,8/25/17,20:50,Sexta-feira,25,8
58,Nageezi,NM,Circle,8/25/17,20:30,Sexta-feira,25,8
59,Nageezi,NM,Other,8/25/17,20:30,Sexta-feira,25,8
60,Pawtucket,RI,Light,8/25/17,09:38,Sexta-feira,25,8
61,Norwalk,CT,Fireball,8/25/17,09:22,Sexta-feira,25,8
62,Turlock,CA,Light,8/25/17,04:30,Sexta-feira,25,8
63,Carlsbad,CA,Diamond,8/24/17,00:00,Quinta-Feira,24,8
64,East Patchogue,NY,Circle,8/24/17,23:36,Quinta-Feira,24,8
65,Las Cruces,NM,Circle,8/24/17,21:20,Quinta-Feira,24,8
66,Hemet (general area),CA,Formation,8/24/17,21:00,Quinta-Feira,24,8
67,Fitchburg,MA,Circle,8/24/17,20:48,Quinta-Feira,24,8
68,Tillamook,OR,Cigar,8/24/17,20:43,Quinta-Feira,24,8
69,Cincinnati,OH,Triangle,8/24/17,06:33,Quinta-Feira,24,8
70,Denver/Glendale,CO,Changing,8/24/17,05:00,Quinta-Feira,24,8
71,Carlisle,OH,Light,8/24/17,03:45,Quinta-Feira,24,8
72,Knoxville,TN,Fireball,8/24/17,02:30,Quinta-Feira,24,8
73,Charlotte,NC,Flash,8/24/17,02:00,Quinta-Feira,24,8
74,North Myrtle Beach,SC,Other,8/23/17,22:00,Quarta-feira,23,8
75,Lansford,PA,Disk,8/23/17,22:00,Quarta-feira,23,8
76,Rochester Hills,MI,Sphere,8/23/17,21:48,Quarta-feira,23,8
77,Treasure Island,FL,Changing,8/23/17,21:45,Quarta-feira,23,8
78,Hillview/Shepherdsville,KY,Fireball,8/23/17,21:30,Quarta-feira,23,8
79,Buffalo,NY,Flash,8/23/17,21:30,Quarta-feira,23,8
80,Corona,CA,Sphere,8/23/17,17:30,Quarta-feira,23,8
81,Asheville,NC,Light,8/23/17,14:30,Quarta-feira,23,8
